#Frame             a1           a2
       1      44.2348     109.5944
       2      36.7170      94.3483
       3      54.5470      87.0501
       4      36.7460      96.6703
       5      40.5195     106.5388
       6      42.9469      99.3820
       7      39.1113     101.5087
       8      33.1729     101.3553
       9      48.5358      89.6707
      10      45.8627     103.5281
      11      46.4674      90.1434
      12      37.2972      93.0764
      13      39.7266      92.0149
      14      35.5933      72.4321
      15      45.0220      80.4289
      16      40.6232      71.2464
      17      39.0569      99.7551
      18      36.8464     108.2479
      19      43.8536      79.0913
      20      47.4617     102.3881
      21      45.8788      89.1951
      22      44.1834     100.1380
      23      52.0273      98.1838
      24      33.1641      98.9664
      25      38.0780      72.8964
      26      42.3983      90.9495
      27      32.7524      80.4032
      28      36.9105      71.2976
      29      32.8434      86.8996
      30      44.7090      69.3867
      31      40.2175      89.6331
      32      44.1622      94.3679
      33      38.2766      97.0130
      34      48.4280      68.0989
      35      62.3041      63.2174
      36      51.7105      56.8610
      37      37.4017      73.4958
      38      39.3834      72.0688
      39      39.2475      70.2804
      40      44.5072      79.9932
      41      38.1146      75.1439
      42      32.7162      76.8957
      43      37.1407      67.3648
      44      36.8119      78.0117
      45      36.2731      90.6364
      46      44.5782      67.6054
      47      44.3064      87.6299
      48      35.9066      74.7172
      49      40.8070      86.5193
      50      32.2505     109.2029
      51      45.6403      94.2574
      52      39.7609      96.6286
      53      39.6557     106.3147
      54      48.2393      99.9230
      55      41.8334      93.7835
      56      74.6343      81.4202
      57      66.3169      83.9809
      58      65.6256     104.4203
      59      64.6502      85.6528
      60      69.8779      91.9856
      61      63.2063      99.0641
      62      67.6587     105.6328
      63      62.3513      90.7568
      64      74.2054      92.6954
      65      64.0349      92.0556
      66      63.8735      98.0711
      67      66.9689      98.6164
      68      53.6717      95.8339
      69      63.3365      94.4367
      70      66.7969      92.3038
      71      68.3374      75.2294
      72      55.1879      97.8570
      73      66.2968      92.5996
      74      70.4325      89.0465
      75      65.4594      90.5058
      76      75.9934      97.2856
      77      71.0303      79.6995
      78      68.8870      89.3339
      79      71.4581      63.9388
      80      84.0419      64.1589
      81      76.5136      52.7010
      82      74.9966      43.7264
      83      79.4295      53.2579
      84      71.8447      48.0774
      85      71.9552      56.6034
      86      66.6559      38.9856
      87      75.7983      63.0242
      88      79.8434      60.8551
      89      65.3126      54.7226
      90      70.6510      67.5809
      91      73.5915      63.0574
      92      76.1057      59.6429
      93      70.6461      48.9920
      94      62.3921      64.4878
      95      64.8828      60.7344
      96      66.5555      59.4199
      97      71.4976      53.5266
      98      61.1357      41.3659
      99      64.5356      55.1953
     100      69.5254      47.7883
     101      46.6644      54.1455
     102      48.7803      52.0149
     103      59.9501      57.1049
     104      56.5305      56.3478
     105      53.4104      67.7711
     106      51.8980      74.2537
     107      53.1481      51.2324
     108      57.4451      48.9873
     109      49.6955      59.9687
     110      40.2278      76.6838
     111      36.8233      90.5848
     112      38.6914      82.1433
     113      44.1103      82.9696
     114      44.0700      78.1343
     115      41.7363      85.7351
     116      37.7584      72.8824
     117      34.3705      91.4580
     118      44.3625      80.7687
     119      35.9744      85.4959
     120      42.2859      83.4454
     121      38.7532      83.8018
     122      44.3510      75.0777
     123      38.6484      77.0896
     124      43.6078      65.0894
     125      30.4760      79.2652
     126      48.1500      79.5614
     127      42.8826     121.4162
     128      38.2304     111.2331
     129      41.9592     104.3423
     130      42.8281     105.2083
     131      36.8493      74.8502
     132      44.9367      87.0610
     133      52.4171     103.6692
     134      41.1890     110.5272
     135      41.2081      84.0106
     136      48.9257      94.1699
     137      40.6515      96.9207
     138      37.9164     100.1039
     139      44.3242      89.0479
     140      32.8729      91.5261
     141      53.8489      86.0438
     142      46.5819      90.2192
     143      48.0270      88.3497
     144      40.4548     111.7255
     145      51.7965      99.7850
     146      46.5004      94.0616
     147      69.2784      91.9478
     148      59.0319     112.9949
     149      68.7900      86.5503
     150      65.1102      98.3887
     151      62.4307      91.1192
     152      66.5941     100.6699
     153      78.1278      67.3939
     154      76.6230      49.8910
     155      70.6203      41.0824
     156      69.7405      46.4836
     157      72.5481      48.7795
     158      71.9240      45.7379
     159      42.8036      68.6816
     160      48.9260      75.1803
     161      40.5095      84.4400
     162      40.3677      75.8496
     163      47.4208      68.1960
     164      54.5285      48.3164
     165      58.7778      38.8697
     166      59.2306      60.1686
     167      51.2749      59.8509
     168      62.0958      54.5914
     169      63.9723      57.4760
     170      57.0659      54.8606
     171      56.8215      52.1927
     172      70.9747      51.1588
     173      67.5220      47.9168
     174      80.8079      60.6833
     175      76.7075      80.5681
     176      80.5621      67.4511
     177      69.5781      68.0884
     178      76.5117      79.1606
     179      68.6153      66.7353
     180      75.3961      52.4261
     181      79.1058      51.3885
     182      69.5005      56.5789
     183      72.9733      47.7474
     184      72.7982      48.8003
     185      77.5576      56.0070
     186      63.9291      46.6521
     187      68.6348      46.2840
     188      72.2559      55.7664
     189      72.6185      51.5520
     190      58.2941      43.9930
     191      68.4476      77.7923
     192      77.3526      64.4230
     193      85.1232      67.2716
     194      81.1337      62.9531
     195      72.8987      74.2920
     196      78.5344      70.6451
     197      43.5733      92.9639
     198      47.0866     102.1301
     199      33.8161      98.1897
     200      46.5958     100.3229
     201      47.0348      90.2716
     202      41.2505     109.5747
     203      50.4364      98.8262
     204      46.8334      94.1754
     205      41.5063      97.5093
     206      43.0896      98.6618
