Delta_44.2348	Delta_109.5944
-0.465910	0.746685
-0.154718	0.619307
-0.465404	0.787212
-0.399544	0.959449
-0.357178	0.834540
-0.424122	0.871658
-0.527767	0.868980
-0.259633	0.665045
-0.306288	0.906903
-0.295734	0.673296
-0.455784	0.724486
-0.413383	0.705960
-0.485523	0.364175
-0.320961	0.503746
-0.397734	0.343481
-0.425071	0.841051
-0.463652	0.989279
-0.341353	0.480400
-0.278380	0.887006
-0.306007	0.656745
-0.335597	0.847734
-0.198695	0.813627
-0.527920	0.827286
-0.442156	0.372279
-0.366753	0.687365
-0.535106	0.503297
-0.462533	0.344374
-0.533517	0.616681
-0.326424	0.311023
-0.404815	0.664389
-0.335967	0.747027
-0.438690	0.793193
-0.261515	0.288547
-0.019331	0.203348
-0.204224	0.092408
-0.453960	0.382740
-0.419373	0.357834
-0.421745	0.326621
-0.329946	0.496141
-0.441518	0.411505
-0.535738	0.442080
-0.458515	0.275734
-0.464254	0.461558
-0.473658	0.681900
-0.328707	0.279933
-0.333450	0.629427
-0.480055	0.404058
-0.394526	0.610043
-0.543866	1.005947
-0.310169	0.745099
-0.412784	0.786484
-0.414620	0.955538
-0.264808	0.843982
-0.376612	0.736827
0.195871	0.521047
0.050705	0.565740
0.038640	0.922475
0.021616	0.594920
0.112856	0.705448
-0.003585	0.828991
0.074124	0.943637
-0.018507	0.684002
0.188386	0.717836
0.010877	0.706670
0.008060	0.811660
0.062085	0.821177
-0.169995	0.772614
-0.001312	0.748228
0.059083	0.711002
0.085970	0.412997
-0.143532	0.807923
0.050354	0.716164
0.122536	0.654151
0.035739	0.679621
0.219592	0.797951
0.132970	0.491015
0.095562	0.659167
0.140436	0.215939
0.360065	0.219781
0.228671	0.019803
0.202195	-0.136834
0.279563	0.029522
0.147184	-0.060895
0.149112	0.087912
0.056622	-0.219576
0.216187	0.199976
0.286787	0.162118
0.033177	0.055086
0.126350	0.279506
0.177671	0.200556
0.221552	0.140962
0.126264	-0.044932
-0.017795	0.225521
0.025676	0.160012
0.054870	0.137069
0.141126	0.034212
-0.039724	-0.178032
0.019616	0.063336
0.106704	-0.065940
-0.292296	0.045014
-0.255366	0.007828
-0.060416	0.096665
-0.120100	0.083451
-0.174556	0.282825
-0.200952	0.395968
-0.179134	-0.005829
-0.104137	-0.045014
-0.239393	0.146648
-0.404635	0.438381
-0.464055	0.681000
-0.431451	0.533668
-0.336873	0.548089
-0.337576	0.463697
-0.378307	0.596356
-0.447735	0.372034
-0.506865	0.696240
-0.332471	0.509676
-0.478871	0.592181
-0.368715	0.556394
-0.430372	0.562614
-0.332672	0.410350
-0.432201	0.445464
-0.345643	0.236021
-0.574836	0.483435
-0.266367	0.488605
-0.358300	1.219109
-0.439497	1.041380
-0.374417	0.921113
-0.359252	0.936228
-0.463601	0.406379
-0.322450	0.619498
-0.191892	0.909365
-0.387859	1.029060
-0.387526	0.566258
-0.252828	0.743571
-0.397240	0.791582
-0.444977	0.847139
-0.333140	0.654176
-0.533003	0.697428
-0.166902	0.601744
-0.293735	0.674619
-0.268514	0.641990
-0.400673	1.049974
-0.202723	0.841573
-0.295158	0.741681
0.102393	0.704788
-0.076442	1.072130
0.093869	0.610584
0.029644	0.817203
-0.017122	0.690327
0.055543	0.857018
0.256844	0.276242
0.230581	-0.029241
0.125814	-0.182980
0.110458	-0.088712
0.159460	-0.048641
0.148568	-0.101727
-0.359679	0.298717
-0.252823	0.412140
-0.399719	0.573753
-0.402194	0.423822
-0.279094	0.290241
-0.155041	-0.056723
-0.080877	-0.221599
-0.072974	0.150137
-0.211827	0.144592
-0.022967	0.052796
0.009784	0.103142
-0.110755	0.057495
-0.115021	0.010931
0.131999	-0.007114
0.071738	-0.063698
0.303621	0.159120
0.232055	0.506175
0.299331	0.277240
0.107624	0.288363
0.228638	0.481610
0.090820	0.264747
0.209167	0.015005
0.273914	-0.003105
