Delta_59.8469	Delta_-94.5263	Delta_-73.7151
0.556544	2.625003	0.262138
0.880279	3.121083	-0.118096
0.467122	2.469147	0.401171
0.780349	3.086636	0.147189
0.445598	2.732931	0.282143
0.611356	2.885670	0.276624
0.338133	2.315619	0.471981
0.407444	2.904593	0.199557
0.706792	2.725389	0.396082
0.548114	2.912815	0.131650
0.640969	2.688083	0.271074
0.810568	2.857415	0.273196
0.093513	1.375867	0.451117
0.133108	1.709691	0.569204
0.220978	1.460444	0.501273
0.652603	2.688634	0.138967
0.490588	2.698080	0.282494
0.624465	2.610726	0.427086
0.674149	3.005139	0.189443
0.568784	2.905732	0.270622
0.573037	2.705842	0.317070
0.520848	3.099078	0.020003
-0.072778	1.467537	0.622873
0.277097	1.628075	0.553880
0.329485	1.683829	0.454777
0.069745	1.238140	0.389194
0.275186	1.594966	0.517553
0.067705	1.645278	0.526428
-0.023984	1.497379	0.261014
0.265164	1.586160	0.616335
0.443420	2.629499	0.177971
0.473944	2.942988	0.188468
0.000499	1.121636	0.394499
0.075360	0.510847	0.131429
-0.183781	0.394909	0.252539
0.035573	1.238749	0.404859
0.149889	1.616822	0.460777
-0.132415	1.384582	0.341514
-0.023843	1.459710	0.403358
0.212789	1.592294	0.567989
-0.099733	0.947110	0.602646
0.009810	1.480278	0.662623
0.546278	2.321075	0.246859
0.134602	1.571381	0.551266
0.295158	1.808158	0.523653
-0.112699	1.402953	0.405461
0.168103	1.617437	0.398602
0.175032	1.624563	0.481229
0.449967	2.070634	0.578261
0.746008	2.791284	0.178786
0.318067	2.325025	0.603348
0.607270	3.108109	0.336700
0.603100	2.832877	0.170524
0.606015	2.849158	0.282815
0.656684	-2.348293	-0.492261
0.570045	-2.279273	-0.429445
0.771436	-2.156190	-0.497613
0.437290	-2.229389	-0.723954
0.585464	-2.373538	-0.383269
0.612773	-2.358100	-0.542454
0.682748	-2.390778	-0.404400
0.482137	-2.318860	-0.513392
0.550650	-2.160971	-0.452784
0.541429	-2.309957	-0.327417
0.575013	-2.297098	-0.232090
0.574500	-2.260393	-0.448574
0.531407	-2.401854	-0.302043
0.588136	-2.501828	-0.292924
0.403749	-2.218656	-0.464038
0.471764	-2.340518	-0.175774
0.439329	-2.583730	-0.188251
0.554351	-2.292371	-0.341681
0.539682	-2.272078	-0.348186
0.435632	-2.371936	-0.439956
0.800200	-2.318473	-0.526536
0.752839	-2.344389	0.042610
0.608146	-2.371072	-0.128269
0.449621	-1.676261	-0.531287
0.315988	-1.433711	-0.526109
0.005046	-0.324263	0.103339
0.067377	-0.307000	-0.138621
0.016444	-0.619084	-0.143201
-0.062565	-0.616318	-0.257022
-0.176826	-0.572402	-0.165668
0.052817	-0.349212	0.009226
0.144773	-0.604619	-0.018509
-0.120679	-0.689477	-0.188607
-0.234045	-0.393230	-0.408667
-0.034685	-0.536418	-0.032018
-0.010018	-0.775034	-0.330927
0.056233	-0.857728	-0.397774
-0.087715	-0.390048	-0.125021
-0.098389	-0.596316	-0.268955
0.036278	-0.821855	-0.526609
