#Frame             d1           d2           d3
       1      59.8469     -94.5263     -73.7151
       2      54.8946    -111.7337     -67.0312
       3      73.4433     -83.3104     -88.8170
       4      49.7711    -120.6636     -59.0652
       5      67.7177     -85.2841     -73.6173
       6      48.5379    -105.5499     -65.8850
       7      58.0351     -96.7986     -66.2012
       8      42.3806    -129.4601     -55.0081
       9      46.3518     -95.7144     -70.6168
      10      63.5032    -105.9820     -59.3568
      11      54.4116     -95.2433     -74.5076
      12      59.7318    -108.1195     -66.5192
      13      69.4491     -98.4175     -66.3976
      14      28.3649     176.6961     -56.2035
      15      30.6335    -164.1772     -49.4376
      16      35.6681    -178.4580     -53.3298
      17      60.3984    -108.0879     -74.0884
      18      51.1156    -107.5467     -65.8649
      19      58.7862    -112.5517     -57.5804
      20      61.6329     -89.9535     -71.1963
      21      55.5959     -95.6491     -66.5451
      22      55.8396    -107.1020     -63.8838
      23      52.8494     -84.5712     -80.9045
      24      18.8371    -178.0516     -46.3626
      25      38.8835    -168.8535     -50.3156
      26      41.8851    -165.6590     -55.9938
      27      27.0031     168.8049     -59.7514
      28      38.7740    -170.7505     -52.3970
      29      26.8862    -167.8678     -51.8885
      30      21.6328    -176.3418     -67.0956
      31      38.1998    -171.2550     -46.7372
      32      48.4131    -111.4761     -71.8536
      33      50.1620     -93.5145     -71.2522
      34      23.0356     162.1297     -59.4475
      35      27.3248     127.1341     -74.5203
      36      12.4771     120.4913     -67.5812
      37      25.0452     168.8398     -58.8539
      38      31.5950    -169.4982     -55.6500
      39      15.4202     177.1954     -62.4833
      40      21.6409    -178.5001     -58.9399
      41      35.1989    -170.9036     -49.5072
      42      17.2927     152.1301     -47.5215
      43      23.5691    -177.3216     -44.0851
      44      54.3064    -129.1475     -67.9066
      45      30.7191    -172.1018     -50.4654
      46      39.9183    -158.5355     -52.0475
      47      16.5498     178.2480     -58.8194
      48      32.6386    -169.4630     -59.2124
      49      33.0356    -169.0547     -54.4782
      50      48.7882    -143.4967     -48.9187
      51      65.7501    -102.2065     -71.8069
      52      41.2309    -128.9212     -47.4813
      53      57.8010     -84.0538     -62.7591
      54      57.5621     -99.8234     -72.2803
      55      57.7291     -98.8906     -65.8465
      56      60.6322     -36.6826    -110.2551
      57      55.6682     -32.7280    -106.6560
      58      67.2070     -25.6759    -110.5617
      59      48.0619     -29.8699    -123.5301
      60      56.5516     -38.1290    -104.0103
      61      58.1163     -37.2445    -113.1309
      62      62.1256     -39.1168    -105.2210
      63      50.6314     -34.9962    -111.4658
      64      54.5569     -25.9498    -107.9932
      65      54.0286     -34.4861    -100.8102
      66      55.9528     -33.7493     -95.3484
      67      55.9234     -31.6463    -107.7520
      68      53.4544     -39.7514     -99.3564
      69      56.7047     -45.4795     -98.8339
      70      46.1401     -29.2549    -108.6380
      71      50.0371     -36.2371     -92.1217
      72      48.1787     -50.1721     -92.8366
      73      54.7690     -33.4785    -101.6275
      74      53.9285     -32.3158    -102.0002
      75      47.9669     -38.0372    -107.2582
      76      68.8551     -34.9740    -112.2189
      77      66.1415     -36.4589     -79.6092
      78      57.8512     -37.9877     -89.3999
      79      48.7684       1.8220    -112.4911
      80      41.1118      15.7191    -112.1944
      81      23.2961      79.2858     -76.1297
      82      26.8674      80.2749     -89.9930
      83      23.9492      62.3938     -90.2554
      84      19.4223      62.5523     -96.7769
      85      12.8756      65.0685     -91.5427
      86      26.0332      77.8563     -81.5220
      87      31.3019      63.2226     -83.1111
      88      16.0926      58.3606     -92.8570
      89       9.5972      75.3343    -105.4655
      90      21.0197      67.1302     -83.8851
      91      22.4330      53.4585    -101.0113
      92      26.2289      48.7205    -104.8414
      93      17.9813      75.5166     -89.2138
      94      17.3697      63.6983     -97.4606
      95      25.0856      50.7759    -112.2231
      96      21.6538      59.1679     -95.0267
      97      17.5981      55.3690     -94.5626
      98      31.2117      72.7117     -75.9535
      99      16.5233      64.7887    -103.9039
     100      23.2192      61.0170     -92.7848
     101      21.0079     125.3564     -55.4643
     102       9.1224     119.8309     -65.3184
     103      14.0061     108.5836     -68.8430
     104      21.1627     121.2218     -53.3380
     105      18.9417     138.8578     -61.5690
     106      28.8334     170.4751     -47.1424
     107      15.6893     123.0068     -66.9885
     108       1.3486     121.4975     -70.2048
     109       8.8648     131.4136     -61.8231
     110      19.3184    -174.1721     -47.7246
     111      18.9376     169.1338     -62.4351
     112      17.4195    -177.7618     -45.3543
     113      18.2236    -178.5094     -59.5211
     114      30.3661    -170.3857     -48.0864
     115      26.3216    -169.3904     -48.9358
     116      21.5689     167.8582     -54.5048
     117      33.0809     163.0806     -40.7247
     118      29.3478    -160.8997     -54.3689
     119      29.0229    -166.2479     -49.9910
     120      25.6142     167.2999     -46.3549
     121      35.7004    -177.3113     -48.4598
     122      23.8127     178.8225     -54.4836
     123      15.1058     176.7918     -65.4181
     124      27.2564    -178.1613     -57.5084
     125      38.5519     171.0823     -47.2119
     126      37.5450    -168.2767     -65.4065
     127      59.1825    -103.5845     -74.1979
     128      66.3710     -89.9431     -71.6220
     129      59.1397    -101.2832     -65.7978
     130      50.4461     -95.9546     -72.8948
     131      44.4955    -142.5505     -55.4666
     132      59.4932     -95.6493     -79.6864
     133      62.8089     -87.4591     -75.1448
     134      55.2493    -112.3655     -63.4278
     135      52.4973    -121.6482     -57.4811
     136      47.9102     -94.4004     -74.5211
     137      40.6114    -112.8980     -67.6308
     138      63.9189     -89.5430     -70.2735
     139      45.1525    -116.6447     -77.5969
     140      52.2746     -99.3567     -62.4769
     141      62.3940     -85.2580     -82.6458
     142      43.6125    -115.4106     -65.2899
     143      45.9922     -99.0632     -59.9654
     144      57.9427    -107.5396     -61.6405
     145      49.0870    -107.2184     -74.2391
     146      63.9857     -90.3150     -63.0507
