,angle
0,64.18500604057508
1,62.64695453519904
2,66.44157703395231
3,61.12198387819013
4,62.53437836040363
5,61.90710976776245
6,62.01236896082222
7,60.50342887182211
8,63.59720393240597
9,62.35563300647173
10,60.53013042604892
11,61.35269988196616
12,62.025085701529264
13,63.16949500715954
14,64.65009442804525
15,61.056324621541854
16,63.404496431633895
17,63.704037700640065
18,62.06457864088064
19,62.19595296509881
20,62.023203365405244
21,64.0296824895521
22,62.18946734885741
23,64.44912729765763
24,63.51302047684217
25,63.41226234431971
26,65.51108884274312
27,68.40476366094295
28,64.74852328671032
29,61.708385688151594
30,65.08894575073457
31,62.24801611707146
32,60.63683851302645
33,63.35910356872656
34,64.32964943839083
35,61.402370218605824
36,61.998441606304155
37,65.75287436661068
38,62.373494929965105
39,61.23389187277888
40,62.48979306647801
41,63.400771330183
42,65.86696985007754
43,63.68199803388054
44,64.0919423327738
45,64.69002688495644
46,63.950386135498235
47,65.89422010222906
48,63.74493300505752
49,63.608802940315044
50,64.53984329748381
51,63.38129089147919
52,65.37506347305718
53,61.47243085251192
54,66.36748265397965
55,67.18754266447479
56,67.88147252980747
57,64.26376899794835
58,65.74187214277056
59,61.30893747944159
60,62.15390969413774
61,62.69964376059687
62,63.92806101570143
63,59.844395086866626
64,56.46316890158817
65,62.027627339566564
66,63.371051183519675
67,61.75412623959704
68,62.09241578640014
69,67.6397565193727
70,60.51158809682521
71,66.37436304017417
72,63.22584740276854
73,66.8751098059909
74,64.72461311360429
75,62.882138654279395
76,62.563405766484905
77,65.63949090276986
78,63.4694766710653
79,63.29780733110454
80,62.36111099360721
81,62.68714207326521
82,65.80506870746741
83,66.85667712429142
84,66.26698403008449
85,63.47344237027992
86,64.7414530302017
87,67.72639859974669
88,62.782277229524176
89,65.90662413181592
90,63.86570880768738
91,62.754472368843764
92,64.2836623982069
93,61.821767315622665
94,61.732359456052436
95,64.92028523958648
96,56.12676108733074
97,62.464250383523186
98,60.149828153900906
99,62.12872466841693
100,59.91503373883649
101,58.416375383453286
102,56.72349636987705
103,61.05166160244488
104,62.985457320008486
105,61.41523069401733
106,60.98155460143731
107,63.77161043379238
108,64.83688154512785
109,66.9731363831604
110,64.61742928848045
111,63.32092036444317
112,65.21450626377806
113,64.84199488010573
114,64.9619468935351
115,62.54889361335526
116,66.9944227057408
117,63.31389308035689
118,63.27689170233059
119,66.14417956631318
120,61.51478295363422
121,66.21454300800899
122,60.92639569930764
123,65.48072512117403
124,67.10311889960143
125,64.458331673721
126,63.263781525857
127,64.43175347887606
128,63.11515981979946
129,67.99917842974125
130,63.824332287802754
131,68.32798611730293
132,61.076179368492255
133,65.6460557210496
134,63.44710223456579
135,64.59960218762734
136,65.59530380906122
137,64.83889495523054
138,65.08636099537286
139,66.53733908490739
140,63.8348310658886
141,64.4014897485047
142,63.38800906751613
143,64.36056267937093
144,62.96734123746764
145,61.97657414602983
146,62.87409816779982
147,62.94967815919591
148,65.34665563124285
149,66.25474346718632
150,63.18164331960869
151,67.66186827493625
152,67.14910602129596
153,65.01726425262788
154,63.667328994139936
155,62.083849483233614
156,63.54246869902194
157,63.19885613943471
158,62.19103026846186
159,62.430991616448566
160,67.40493135670464
161,65.94317438738096
162,65.77436348489749
163,64.9663442986614
164,64.61295799852758
165,63.298688147506475
166,64.2961315120594
167,65.18832541488409
168,66.13685567063958
169,63.80175020876433
170,65.95435045248831
171,63.43746177267855
172,64.07626045704802
173,62.53222350298304
174,61.26189316391545
175,65.00162441923314
176,62.2009512271765
177,65.11727830264165
178,66.83125467155068
179,65.43164955182999
180,64.43809913328356
181,66.10644358297655
182,62.12808382993362
183,66.20609518344102
184,63.489377589832685
185,63.40028293414947
186,62.0360261401825
187,63.17519341904962
188,63.34389107671711
189,62.898162994840824
190,64.54359794091395
191,66.7015448076117
192,65.76766169068841
193,65.43825894039406
194,66.44392791221493
195,66.3187456854424
196,65.30289314959268
197,61.46196931719644
198,64.24115059167822
199,64.0701668617732
200,64.4354740709374
201,65.75746428749679
202,64.18685838576026
203,64.61448447190934
204,61.119083197592246
205,65.47714927695347
206,62.75554711675718
207,67.41445884588572
208,64.84440340842102
209,63.523289235510525
210,64.7158526866847
211,62.31759460926802
212,63.89678269720228
213,62.22672035834977
214,65.01318472637927
215,61.24328971238595
216,61.4411539083163
217,64.06449043684917
218,65.72772762592129
219,62.579017455196194
220,62.29925697985643
221,62.303424905990646
222,62.8525233519179
223,65.18647471213512
224,62.45133131050712
225,65.56416791570267
226,66.33968773854606
